the - 16225;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
apartment - 127;                                                                                                                              
inside - 127;                                                                                                                              
looks - 126;                                                                                                                             
big - 126;                                                                                                                             
times - 126;                                                                                                                             
saw - 126;                                                                                                                             
done - 125;                                                                                                                            
stop - 124;                                                                                                                           
turn - 124;                                                                                                                           
gone - 124;                                                                                                                           
leave - 123;                                                                                                                          
took - 123;                                                                                                                          
also - 122;                                                                                                                         
else - 122;                                                                                                                         
call - 122;                                                                                                                         
try - 122;                                                                                                                         
least - 120;                                                                                                                       
front - 120;                                                                                                                       
doing - 120;                                                                                                                       
air - 120;                                                                                                                       
sometimes - 119;                                                                                                                      
either - 118;                                                                                                                     
books - 118;                                                                                                                     
rather - 118;                                                                                                                     
talking - 118;                                                                                                                     
large - 118;                                                                                                                     
i'll - 117;                                                                                                                    
wanted - 117;                                                                                                                    
slowly - 117;                                                                                                                    
standing - 117;                                                                                                                    
city - 116;                                                                                                                   
isn't - 115;                                                                                                                  
kind - 114;                                                                                                                 
beings - 114;                                                                                                                 
used - 114;                                                                                                                 
die - 114;                                                                                                                 
there's - 114;                                                                                                                 
case - 114;                                                                                                                 
probably - 113;                                                                                                                
chapter - 113;                                                                                                                
actually - 113;                                                                                                                
reason - 113;                                                                                                                
water - 112;                                                                                                               
word - 112;                                                                                                               
fact - 112;                                                                                                               
we're - 111;                                                                                                              
thousand - 111;                                                                                                              
oh - 111;                                                                                                              
others - 111;                                                                                                              
police - 110;                                                                                                             
book - 110;                                                                                                             
beatty - 109;                                                                                                            
death - 109;                                                                                                            
toward - 109;                                                                                                            
seems - 109;                                                                                                            
between - 108;                                                                                                           
coming - 107;                                                                                                          
everyone - 107;                                                                                                          
comporellon - 107;                                                                                                          
guy - 107;                                                                                                          
she's - 105;                                                                                                        
cold - 105;                                                                                                        
heard - 104;                                                                                                       
set - 103;                                                                                                      
dreams - 103;                                                                                                      
move - 103;                                                                                                      
wonder - 103;                                                                                                      
sound - 102;                                                                                                     
close - 101;                                                                                                    
makes - 101;                                                                                                    
sir - 101;                                                                                                    
wake - 101;                                                                                                    
brain - 101;                                                                                                    
finally - 101;                                                                                                    
along - 100;                                                                                                   
stay - 100;                                                                                                   
wrong - 100;                                                                                                   
he's - 99;                                                                                                  
street - 99;                                                                                                  
kill - 99;                                                                                                  
stood - 99;                                                                                                  
sitting - 98;                                                                                                 
mouth - 98;                                                                                                 
days - 98;                                                                                                 
love - 98;                                                                                                 
galactic - 97;                                                                                                
certain - 97;                                                                                                
whole - 97;                                                                                                
blood - 97;                                                                                                
moved - 97;                                                                                                
later - 96;                                                                                               
walking - 96;                                                                                               
hiroko - 96;                                                                                               
mildred - 96;                                                                                               
outside - 95;                                                                                              
real - 95;                                                                                              
held - 95;                                                                                              
seem - 94;                                                                                             
upon - 94;                                                                                             
speak - 94;                                                                                             
empty - 94;                                                                                             
alone - 93;                                                                                            
won't - 93;                                                                                            
waiting - 92;                                                                                           
live - 92;                                                                                           
comes - 92;                                                                                           
thinking - 92;                                                                                           
wall - 92;                                                                                           
young - 91;                                                                                          
window - 91;                                                                                          
goes - 91;                                                                                          
fire - 91;                                                                                          
asks - 91;                                                                                          
run - 91;                                                                                          
sat - 90;                                                                                         
called - 90;                                                                                         
full - 89;                                                                                        
sense - 89;                                                                                        
stars - 89;                                                                                        
quickly - 87;                                                                                      
wish - 87;                                                                                      
gun - 87;                                                                                      
floor - 87;                                                                                      
joe - 87;                                                                                      
minutes - 86;                                                                                     
together - 86;                                                                                     
simply - 86;                                                                                     
power - 86;                                                                                     
four - 86;                                                                                     
project - 85;                                                                                    
bed - 85;                                                                                    
number - 84;                                                                                   
bad - 84;                                                                                   
moving - 84;                                                                                   
read - 84;                                                                                   
change - 84;                                                                                   
question - 83;                                                                                  
already - 83;                                                                                  
stopped - 83;                                                                                  
single - 83;                                                                                  
sit - 82;                                                                                 
five - 82;                                                                                 
wouldn't - 82;                                                                                 
yourself - 81;                                                                                
anyone - 81;                                                                                
able - 81;                                                                                
taken - 81;                                                                                
happened - 81;                                                                                
land - 81;                                                                                
watch - 80;                                                                               
possible - 80;                                                                               
information - 80;                                                                               
bit - 80;                                                                               
we'll - 80;                                                                               
eventually - 80;                                                                               
knows - 80;                                                                               
order - 80;                                                                               
distance - 79;                                                                              
ten - 79;                                                                              
please - 79;                                                                              
surface - 79;                                                                              
entire - 79;                                                                              
become - 79;                                                                              
pel - 79;                                                                              
surely - 78;                                                                             
morning - 78;                                                                             
minister - 77;                                                                            
certainly - 77;                                                                            
wasn't - 77;                                                                            
having - 77;                                                                            
gets - 77;                                                                            
lot - 77;                                                                            
feeling - 76;                                                                           
living - 76;                                                                           
longer - 76;                                                                           
chance - 75;                                                                          
ve - 75;                                                                          
less - 74;                                                                         
silence - 74;                                                                         
show - 74;                                                                         
sky - 74;                                                                         
realize - 74;                                                                         
twenty - 74;                                                                         
story - 74;                                                                         
cannot - 74;                                                                         
hundred - 74;                                                                         
decision - 74;                                                                         
haven't - 74;                                                                         
begin - 74;                                                                         
means - 73;                                                                        
darkness - 73;                                                                        
walked - 73;                                                                        
direction - 73;                                                                        
job - 73;                                                                        
running - 73;                                                                        
hard - 73;                                                                        
what's - 73;                                                                        
foot - 73;                                                                        
paper - 72;                                                                       
true - 72;                                                                       
ll - 72;                                                                       
bob - 72;                                                                       
died - 72;                                                                       
sort - 72;                                                                       
exactly - 71;                                                                      
takes - 71;                                                                      
lips - 71;                                                                      
rest - 71;                                                                      
food - 71;                                                                      
half - 71;                                                                      
faber - 71;                                                                      
hold - 71;                                                                      
mother - 71;                                                                      
soon - 70;                                                                     
solaria - 70;                                                                     
d - 70;                                                                     
mechanic - 70;                                                                     
getting - 70;                                                                     
feet - 70;                                                                     
tried - 70;                                                                     
terminus - 70;                                                                     
six - 69;                                                                    
durden - 69;                                                                    
saying - 69;                                                                    
lives - 69;                                                                    
suddenly - 68;                                                                   
phone - 68;                                                                   
nor - 68;                                                                   
sleep - 68;                                                                   
touch - 68;                                                                   
shut - 67;                                                                  
short - 67;                                                                  
women - 67;                                                                  
making - 67;                                                                  
center - 67;                                                                  
whatever - 66;                                                                 
best - 66;                                                                 
asleep - 66;                                                                 
history - 66;                                                                 
clear - 66;                                                                 
dog - 65;                                                                
shook - 65;                                                                
imagine - 65;                                                                
idea - 65;                                                                
important - 65;                                                                
gas - 65;                                                                
killed - 65;                                                                
fall - 65;                                                                
completely - 65;                                                                
red - 65;                                                                
rain - 64;                                                               
opened - 64;                                                               
dear - 64;                                                               
listen - 64;                                                               
starts - 64;                                                               
wait - 64;                                                               
councilman - 64;                                                               
couldn't - 64;                                                               
aware - 64;                                                               
we've - 63;                                                              
system - 63;                                                              
lights - 63;                                                              
started - 63;                                                              
closer - 63;                                                              
lost - 62;                                                             
planetary - 62;                                                             
arm - 62;                                                             
above - 62;                                                             
met - 62;                                                             
figure - 61;                                                            
somewhere - 61;                                                            
arms - 61;                                                            
care - 61;                                                            
memory - 61;                                                            
week - 61;                                                            
guys - 61;                                                            
telling - 61;                                                            
wind - 61;                                                            
green - 61;                                                            
alive - 60;                                                           
line - 60;                                                           
high - 60;                                                           
boss - 60;                                                           
hope - 59;                                                          
instead - 59;                                                          
given - 59;                                                          
wants - 59;                                                          
hit - 59;                                                          
tonight - 59;                                                          
search - 59;                                                          
hair - 59;                                                          
walls - 59;                                                          
children - 59;                                                          
habitable - 59;                                                          
answer - 59;                                                          
earth's - 59;                                                          
mayhem - 58;                                                         
fell - 58;                                                         
except - 58;                                                         
watching - 58;                                                         
giant - 58;                                                         
gave - 57;                                                        
step - 57;                                                        
kept - 57;                                                        
smile - 57;                                                        
bliss's - 57;                                                        
aren't - 57;                                                        
third - 57;                                                        
notice - 57;                                                        
happen - 57;                                                        
breath - 57;                                                        
smell - 57;                                                        
began - 57;                                                        
themselves - 57;                                                        
clearly - 57;                                                        
planets - 57;                                                        
low - 57;                                                        
smiled - 56;                                                       
friends - 56;                                                       
near - 56;                                                       
ran - 56;                                                       
strange - 56;                                                       
guess - 56;                                                       
trevize's - 56;                                                       
dogs - 56;                                                       
hours - 56;                                                       
law - 55;                                                      
friend - 55;                                                      
heart - 55;                                                      
warm - 55;                                                      
you've - 55;                                                      
money - 55;                                                      
father - 55;                                                      
afraid - 55;                                                      
silvio - 55;                                                      
screen - 55;                                                      
force - 55;                                                      
working - 55;                                                      
truth - 54;                                                     
thin - 54;                                                     
derek - 54;                                                     
wife - 54;                                                     
let's - 54;                                                     
needed - 54;                                                     
known - 54;                                                     
happy - 54;                                                     
fingers - 54;                                                     
mine - 54;                                                     
brought - 54;                                                     
you'll - 54;                                                     
hour - 54;                                                     
hound - 54;                                                     
view - 53;                                                    
decide - 53;                                                    
angry - 53;                                                    
eye - 53;                                                    
atmosphere - 53;                                                    
problem - 53;                                                    
free - 53;                                                    
energy - 52;                                                   
lay - 52;                                                   
begins - 52;                                                   
damn - 52;                                                   
hotel - 52;                                                   
cars - 52;                                                   
none - 51;                                                  
society - 51;                                                  
war - 51;                                                  
merely - 51;                                                  
empire - 51;                                                  
galaxia - 51;                                                  
bright - 50;                                                 
girl - 50;                                                 
past - 50;                                                 
bring - 50;                                                 
television - 50;                                                 
seat - 50;                                                 
co*ordinates - 50;                                                 
nodded - 50;                                                 
solarian - 50;                                                 
whether - 50;                                                 
follow - 49;                                                
alpha - 49;                                                
beginning - 49;                                                
group - 49;                                                
ourselves - 49;                                                
spoke - 49;                                                
became - 49;                                                
yeah - 49;                                                
soap - 49;                                                
music - 49;                                                
records - 49;                                                
touched - 49;                                                
river - 48;                                               
ones - 48;                                               
watched - 48;                                               
spacer - 48;                                               
passed - 48;                                               
fear - 48;                                               
rule - 48;                                               
desk - 48;                                               
further - 48;                                               
driver - 48;                                               
plan - 47;                                              
top - 47;                                              
attention - 47;                                              
caught - 47;                                              
legends - 47;                                              
mrs - 47;                                              
year - 47;                                              
radioactive - 47;                                              
sleeping - 47;                                              
lizalor - 47;                                              
burn - 46;                                             
map - 46;                                             
thoughts - 46;                                             
pass - 46;                                             
meant - 46;                                             
universe - 46;                                             
seven - 46;                                             
closed - 46;                                             
herself - 46;                                             
form - 46;                                             
expect - 46;                                             
laugh - 45;                                            
knowledge - 45;                                            
piece - 45;                                            
late - 45;                                            
they're - 45;                                            
worse - 45;                                            
return - 45;                                            
satellite - 45;                                            
eat - 45;                                            
therefore - 45;                                            
mr - 45;                                            
station - 45;                                            
happens - 45;                                            
drive - 45;                                            
stand - 44;                                           
reached - 44;                                           
neither - 44;                                           
yellow - 44;                                           
ground - 44;                                           
tao - 44;                                           
beyond - 44;                                           
play - 44;                                           
hot - 44;                                           
truly - 44;                                           
i'd - 43;                                          
control - 43;                                          
shoulder - 43;                                          
trouble - 43;                                          
grew - 43;                                          
size - 43;                                          
rock - 43;                                          
early - 43;                                          
easily - 43;                                          
rules - 43;                                          
pick - 43;                                          
corner - 43;                                          
animals - 43;                                          
continue - 43;                                          
claire - 43;                                          
cut - 43;                                          
edge - 43;                                          
ready - 43;                                          
kids - 43;                                          
softly - 42;                                         
walks - 42;                                         
family - 42;                                         
murder - 42;                                         
kitchen - 42;                                         
clouds - 42;                                         
indeed - 42;                                         
holding - 42;                                         
consider - 42;                                         
cry - 42;                                         
contact - 42;                                         
didn - 42;                                         
likely - 41;                                        
taking - 41;                                        
moon - 41;                                        
daneel - 41;                                        
exist - 41;                                        
becomes - 41;                                        
bus - 41;                                        
reach - 41;                                        
anyway - 41;                                        
fool - 41;                                        
school - 41;                                        
smiling - 41;                                        
deniador - 41;                                        
perfectly - 40;                                       
remain - 40;                                       
gives - 40;                                       
ways - 40;                                       
fat - 40;                                       
picture - 40;                                       
legs - 40;                                       
several - 40;                                       
willing - 40;                                       
stared - 40;                                       
filled - 40;                                       
cancer - 40;                                       
named - 40;                                       
lose - 40;                                       
gently - 40;                                       
accept - 40;                                       
works - 39;                                      
mary - 39;                                      
decided - 39;                                      
solarians - 39;                                      
viewscreen - 39;                                      
leaves - 39;                                      
humanity - 39;                                      
quietly - 39;                                      
staring - 39;                                      
allow - 39;                                      
surprise - 39;                                      
sorry - 39;                                      
stuff - 39;                                      
jump - 39;                                      
towards - 39;                                      
complete - 39;                                      
aurora - 39;                                      
ancient - 39;                                      
remained - 39;                                      
comporellian - 38;                                     
madam - 38;                                     
bathroom - 38;                                     
object - 38;                                     
forward - 38;                                     
parts - 38;                                     
turning - 38;                                     
talked - 38;                                     
quiet - 38;                                     
notebooks - 38;                                     
forbidden - 38;                                     
pain - 38;                                     
burning - 38;                                     
thinks - 38;                                     
pelorat's - 38;                                     
tiny - 38;                                     
language - 38;                                     
knowing - 37;                                    
soft - 37;                                    
parlour - 37;                                    
underground - 37;                                    
estate - 37;                                    
jemby - 37;                                    
minute - 37;                                    
showed - 37;                                    
ear - 37;                                    
followed - 37;                                    
fine - 37;                                    
forget - 37;                                    
chest - 37;                                    
chap - 37;                                    
ahead - 37;                                    
kathleen - 37;                                    
species - 37;                                    
impossible - 37;                                    
pull - 37;                                    
hurt - 37;                                    
smaller - 37;                                    
composition - 37;                                    
older - 36;                                   
particular - 36;                                   
dangerous - 36;                                   
nature - 36;                                   
faces - 36;                                   
wearing - 36;                                   
nice - 36;                                   
reading - 36;                                   
chair - 36;                                   
individual - 36;                                   
wide - 36;                                   
kendray - 36;                                   
visit - 36;                                   
quick - 36;                                   
