the - 6596;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
illusion - 8;       
orbiting - 8;       
vehicle - 8;       
attack - 8;       
dryly - 8;       
build - 8;       
dust - 8;       
relaxed - 8;       
millennia - 8;       
arrived - 8;       
luxury - 8;       
superorganism - 8;       
pick - 8;       
shadow - 8;       
passenger - 8;       
region - 8;       
angry - 8;       
dream - 8;       
repeat - 8;       
dare - 8;       
avoid - 8;       
scholar - 8;       
motionless - 8;       
places - 8;       
unnecessary - 8;       
sensitive - 8;       
blue - 8;       
corner - 8;       
pressed - 8;       
chosen - 8;       
delight - 8;       
running - 8;       
nowhere - 8;       
generally - 8;       
emergency - 8;       
ours - 8;       
smell - 8;       
fire - 8;       
lift - 8;       
peace - 8;       
works - 8;       
complicated - 8;       
disappointed - 8;       
putting - 8;       
gather - 8;       
adjusted - 8;       
uncomfortably - 8;       
glanced - 8;       
viewing - 8;       
unmistakable - 8;       
risk - 8;       
killing - 8;       
remains - 8;       
patch - 8;       
legal - 8;       
drifting - 8;       
twelve - 8;       
dining - 8;       
book - 8;       
straight - 8;       
hiroko's - 8;       
diameter - 8;       
received - 8;       
careful - 8;       
we'd - 8;       
breaks - 8;       
film - 8;       
list - 8;       
huge - 8;       
isolated - 8;       
strongly - 8;       
suitable - 8;       
front - 8;       
cause - 8;       
ate - 8;       
fiction - 8;       
big - 8;       
male - 8;       
repeated - 8;       
worth - 8;       
discussion - 8;       
ecology - 8;       
reaching - 8;       
points - 8;       
represents - 8;       
special - 8;       
largest - 8;       
sector - 8;       
started - 8;       
identification - 8;       
viewed - 8;       
closely - 8;       
minute - 8;       
faith - 8;       
earnestly - 8;       
council - 8;       
represented - 8;       
guard - 8;       
powers - 8;       
refuse - 8;       
tale - 8;       
save - 8;       
hari - 8;       
references - 8;       
inactivated - 8;       
agreement - 8;       
unable - 8;       
daneel's - 8;       
ridiculous - 8;       
loud - 8;       
minister's - 8;       
piece - 8;       
sphere - 8;       
fond - 8;       
lying - 8;       
theory - 8;       
contained - 8;       
lives - 8;       
disappeared - 8;       
landed - 8;       
final - 8;       
robot's - 8;       
instruments - 8;       
rely - 8;       
gathered - 8;       
populated - 8;       
bother - 8;       
met - 8;       
expressionless - 8;       
vague - 8;       
flaw - 8;       
science - 8;       
masculine - 8;       
deserted - 8;       
degree - 8;       
succession - 8;       
heavy - 8;       
fishing - 7;      
sank - 7;      
advantage - 7;      
activities - 7;      
quantity - 7;      
gestured - 7;      
rich - 7;      
flight - 7;      
reality - 7;      
surroundings - 7;      
volume - 7;      
utterly - 7;      
elaborate - 7;      
probe - 7;      
calmly - 7;      
shaking - 7;      
planet's - 7;      
withdrew - 7;      
polar - 7;      
vicinity - 7;      
failure - 7;      
inner - 7;      
hesitate - 7;      
lines - 7;      
appear - 7;      
lie - 7;      
blow - 7;      
eating - 7;      
seeing - 7;      
picked - 7;      
essential - 7;      
discovery - 7;      
sounded - 7;      
accepted - 7;      
pushed - 7;      
angrily - 7;      
lettering - 7;      
intensely - 7;      
soothing - 7;      
delicately - 7;      
record - 7;      
table - 7;      
nose - 7;      
dimly - 7;      
breathe - 7;      
microwave - 7;      
where's - 7;      
opportunity - 7;      
bothers - 7;      
fruit - 7;      
destination - 7;      
increase - 7;      
couple - 7;      
dots - 7;      
reported - 7;      
hull - 7;      
inserted - 7;      
feminine - 7;      
mostly - 7;      
horizon - 7;      
box - 7;      
bringing - 7;      
exciting - 7;      
image - 7;      
angle - 7;      
metal - 7;      
million - 7;      
barely - 7;      
conceivably - 7;      
trev - 7;      
conflict - 7;      
airlock - 7;      
progress - 7;      
covered - 7;      
polite - 7;      
objection - 7;      
wash - 7;      
dislike - 7;      
determined - 7;      
grinned - 7;      
obey - 7;      
refused - 7;      
arrange - 7;      
atom - 7;      
establish - 7;      
curiosity - 7;      
treated - 7;      
unpleasant - 7;      
seek - 7;      
glare - 7;      
becoming - 7;      
include - 7;      
sooner - 7;      
ear - 7;      
helpless - 7;      
robotics - 7;      
abilities - 7;      
waved - 7;      
lifetime - 7;      
insist - 7;      
shift - 7;      
illumination - 7;      
engineered - 7;      
intently - 7;      
estimate - 7;      
conviction - 7;      
nightside - 7;      
logical - 7;      
noise - 7;      
push - 7;      
tomorrow - 7;      
settle - 7;      
terms - 7;      
leaves - 7;      
interstellar - 7;      
hall - 7;      
send - 7;      
remark - 7;      
corridor - 7;      
mistake - 7;      
roughly - 7;      
gray - 7;      
parsecs - 7;      
showing - 7;      
neck - 7;      
companions - 7;      
possibility - 7;      
account - 7;      
movement - 7;      
fright - 7;      
agreed - 7;      
binaries - 7;      
blank - 7;      
numerous - 7;      
indicate - 7;      
contents - 7;      
activate - 7;      
outworlder - 7;      
relief - 7;      
cautious - 7;      
nodding - 7;      
constant - 7;      
concentrate - 7;      
satisfaction - 7;      
fleet - 7;      
stories - 7;      
marriage - 7;      
unknown - 7;      
necessity - 7;      
efficiently - 7;      
languages - 7;      
fast - 7;      
morality - 7;      
instantly - 7;      
gained - 7;      
busy - 7;      
impulse - 7;      
lobes - 7;      
argument - 7;      
waste - 7;      
oddly - 7;      
worldless - 7;      
vigorously - 7;      
zero - 7;      
definition - 7;      
universe - 7;      
predators - 7;      
wherever - 7;      
version - 7;      
suffer - 7;      
square - 7;      
discovered - 7;      
middle - 7;      
equivalent - 7;      
kinds - 7;      
world's - 7;      
velocity - 6;     
dwarf - 6;     
assumed - 6;     
feeble - 6;     
unhappy - 6;     
clumsy - 6;     
background - 6;     
smallest - 6;     
chances - 6;     
released - 6;     
satellites - 6;     
bedroom - 6;     
doubleday - 6;     
honor - 6;     
inertial - 6;     
combination - 6;     
snapped - 6;     
adapted - 6;     
bounds - 6;     
rapid - 6;     
stretching - 6;     
spherical - 6;     
annoyance - 6;     
referred - 6;     
requirement - 6;     
described - 6;     
section - 6;     
faced - 6;     
starfield - 6;     
astronomy - 6;     
curve - 6;     
comporellon's - 6;     
untouched - 6;     
heated - 6;     
friendship - 6;     
affairs - 6;     
defense - 6;     
solemnly - 6;     
she'll - 6;     
nervous - 6;     
succeed - 6;     
sake - 6;     
maintained - 6;     
influence - 6;     
sets - 6;     
crossed - 6;     
guests - 6;     
measure - 6;     
high*pitched - 6;     
duty - 6;     
benbally - 6;     
hurry - 6;     
limit - 6;     
workings - 6;     
lunch - 6;     
pitch - 6;     
mechanical - 6;     
meeting - 6;     
stronger - 6;     
standards - 6;     
decay - 6;     
deadly - 6;     
brightly - 6;     
especially - 6;     
closest - 6;     
impression - 6;     
taste - 6;     
sheer - 6;     
dying - 6;     
safely - 6;     
tells - 6;     
independent - 6;     
copies - 6;     
bent - 6;     
angles - 6;     
cheek - 6;     
partly - 6;     
periods - 6;     
intended - 6;     
locate - 6;     
explore - 6;     
percent - 6;     
clean - 6;     
surrounded - 6;     
neighborhood - 6;     
higher - 6;     
lowered - 6;     
attempting - 6;     
becomes - 6;     
example - 6;     
isolation - 6;     
treat - 6;     
historian - 6;     
inactive - 6;     
vote - 6;     
exaggerated - 6;     
involved - 6;     
route - 6;     
marked - 6;     
threatened - 6;     
mule - 6;     
crumbled - 6;     
threw - 6;     
changes - 6;     
aspect - 6;     
refusing - 6;     
painting - 6;     
notion - 6;     
notes - 6;     
slowed - 6;     
blankly - 6;     
chairs - 6;     
title - 6;     
manufacture - 6;     
fresh - 6;     
comparison - 6;     
flow - 6;     
hermaphroditic - 6;     
criminals - 6;     
compete - 6;     
madness - 6;     
devised - 6;     
greatly - 6;     
earthpeople - 6;     
resting - 6;     
comparatively - 6;     
distributed - 6;     
unbearable - 6;     
unbelievable - 6;     
harmless - 6;     
sadly - 6;     
double - 6;     
foundationer - 6;     
solemn - 6;     
cheeks - 6;     
provided - 6;     
someday - 6;     
steadily - 6;     
rods - 6;     
heat*flow - 6;     
exchange - 6;     
breeze - 6;     
historical - 6;     
chambers - 6;     
markings - 6;     
hence - 6;     
insisted - 6;     
local - 6;     
banks - 6;     
alphan - 6;     
crucial - 6;     
caution - 6;     
sum - 6;     
slid - 6;     
sigh - 6;     
checking - 6;     
crossing - 6;     
butt - 6;     
begins - 6;     
planned - 6;     
problems - 6;     
descended - 6;     
galaxies - 6;     
interfere - 6;     
trick - 6;     
twisted - 6;     
frown - 6;     
you'd - 6;     
create - 6;     
waves - 6;     
excuse - 6;     
endure - 6;     
ultraviolet - 6;     
captain - 6;     
temptation - 6;     
windows - 6;     
alike - 6;     
anger - 6;     
offered - 6;     
rarely - 6;     
shows - 6;     
sensed - 6;     
variations - 6;     
crowded - 6;     
lucky - 6;     
marks - 6;     
suits - 6;     
car - 6;     
conscious - 6;     
uncertainty - 6;     
rank - 6;     
spores - 6;     
arrangement - 6;     
transportation - 6;     
amounts - 6;     
attract - 6;     
sounding - 6;     
commercial - 6;     
sorts - 6;     
excess - 6;     
knees - 6;     
teach - 6;     
whistle - 6;     
breathing - 6;     
rising - 6;     
replied - 6;     
ease - 6;     
grasp - 6;     
hastily - 6;     
shadows - 6;     
branno - 6;     
fate - 6;     
guessed - 6;     
uneasily - 6;     
freely - 6;     
endured - 6;     
precisely - 6;     
understanding - 6;     
amount - 6;     
emotions - 6;     
claim - 6;     
driven - 6;     
horror - 6;     
characteristic - 6;     
luminous - 6;     
test - 6;     
arguing - 6;     
cells - 6;     
increasing - 6;     
wished - 6;     
top - 6;     
relative - 6;     
imagined - 6;     
plans - 6;     
prove - 6;     
rightness - 6;     
airless - 6;     
delightful - 6;     
reading - 6;     
today - 6;     
differences - 6;     
peculiar - 6;     
round - 6;     
predict - 6;     
discomfort - 6;     
cautiously - 6;     
join - 6;     
tested - 6;     
shade - 6;     
rod - 6;     
event - 6;     
pressure - 6;     
storm - 6;     
including - 5;    
cease - 5;    
bodies - 5;    
rights - 5;    
atoms - 5;    
hostile - 5;    
valuable - 5;    
halt - 5;    
lady - 5;    
reluctance - 5;    
tension - 5;    
definitely - 5;    
gets - 5;    
written - 5;    
independence - 5;    
breaking - 5;    
press - 5;    
icy - 5;    
effectively - 5;    
evolution - 5;    
attracted - 5;    
characteristics - 5;    
struck - 5;    
courtesy - 5;    
heading - 5;    
proceed - 5;    
bend - 5;    
buildings - 5;    
supplies - 5;    
meanwhile - 5;    
persuade - 5;    
forgotten - 5;    
allowing - 5;    
handmarks - 5;    
daylight - 5;    
matched - 5;    
doctor - 5;    
harmful - 5;    
actions - 5;    
thirty - 5;    
infrared - 5;    
expand - 5;    
radar - 5;    
instant - 5;    
obscure - 5;    
thumb - 5;    
compor - 5;    
reasoning - 5;    
beside - 5;    
occurs - 5;    
learning - 5;    
cases - 5;    
visitors - 5;    
finished - 5;    
inertia - 5;    
lot - 5;    
portions - 5;    
maximum - 5;    
punishes - 5;    
resistance - 5;    
horrified - 5;    
unlikely - 5;    
extreme - 5;    
window - 5;    
periodically - 5;    
wider - 5;    
eaten - 5;    
there'll - 5;    
deeply - 5;    
pull - 5;    
liking - 5;    
impatient - 5;    
coldly - 5;    
gladly - 5;    
programmed - 5;    
helplessly - 5;    
believing - 5;    
chill - 5;    
design - 5;    
intellectual - 5;    
tenth - 5;    
surprising - 5;    
responded - 5;    
plus - 5;    
evenly - 5;    
degrees - 5;    
anarchy - 5;    
speeds - 5;    
worst - 5;    
impressive - 5;    
blame - 5;    
indefinitely - 5;    
furious - 5;    
gazed - 5;    
unarmed - 5;    
affect - 5;    
consult - 5;    
referring - 5;    
refer - 5;    
south - 5;    
eager - 5;    
concentric - 5;    
dozen - 5;    
casually - 5;    
unit - 5;    
produces - 5;    
pole - 5;    
indifferently - 5;    
romantic - 5;    
limits - 5;    
party - 5;    
purposes - 5;    
terminus's - 5;    
modified - 5;    
safety - 5;    
incredible - 5;    
condition - 5;    
indifference - 5;    
rocky - 5;    
regard - 5;    
consisted - 5;    
reflected - 5;    
secure - 5;    
guided - 5;    
difficulties - 5;    
influenced - 5;    
arguments - 5;    
safer - 5;    
mood - 5;    
tempted - 5;    
recorded - 5;    
facing - 5;    
elbow - 5;    
voluntarily - 5;    
initial - 5;    
fascinated - 5;    
stretched - 5;    
badly - 5;    
enter - 5;    
scrape - 5;    
ancestral - 5;    
vaguely - 5;    
surrounding - 5;    
definite - 5;    
marking - 5;    
elevator - 5;    
shower - 5;    
mother - 5;    
presented - 5;    
happening - 5;    
drawn - 5;    
positions - 5;    
credit - 5;    
fragments - 5;    
overcome - 5;    
infection - 5;    
answered - 5;    
silently - 5;    
dramatic - 5;    
stiffly - 5;    
rigid - 5;    
contain - 5;    
expansion - 5;    
gloves - 5;    
fortune - 5;    
circles - 5;    
seeking - 5;    
conceivable - 5;    
strength - 5;    
behalf - 5;    
saved - 5;    
directly - 5;    
pronounced - 5;    
pace - 5;    
remarkable - 5;    
judged - 5;    
expecting - 5;    
glimpse - 5;    
custody - 5;    
prominent - 5;    
assumptions - 5;    
function - 5;    
scrap - 5;    
glad - 5;    
momentarily - 5;    
earliest - 5;    
originally - 5;    
promised - 5;    
rational - 5;    
gala - 5;    
blood - 5;    
inactivation - 5;    
supplied - 5;    
solution - 5;    
formation - 5;    
founded - 5;    
conclusions - 5;    
establishment - 5;    
continues - 5;    
write - 5;    
replaced - 5;    
hat - 5;    
reverse - 5;    
letting - 5;    
irresistible - 5;    
laid - 5;    
rim - 5;    
measures - 5;    
insists - 5;    
pleasures - 5;    
flew - 5;    
conclusion - 5;    
century - 5;    
sparse - 5;    
systems - 5;    
terraformed - 5;    
brushed - 5;    
growth - 5;    
maintaining - 5;    
replace - 5;    
exact - 5;    
bank - 5;    
suspected - 5;    
boundaries - 5;    
stored - 5;    
quantities - 5;    
adjusting - 5;    
fragile - 5;    
requires - 5;    
rulers - 5;    
drift - 5;    
bearing - 5;    
vision - 5;    
musical - 5;    
absent - 5;    
acceleration - 5;    
temporary - 5;    
internal - 5;    
stiffened - 5;    
shock - 5;    
wipe - 5;    
walking - 5;    
fearfully - 5;    
turmoil - 5;    
gingerly - 5;    
they've - 5;    
thrust - 5;    
carrying - 5;    
hips - 5;    
crumbling - 5;    
clinging - 5;    
delayed - 5;    
unbroken - 5;    
identical - 5;    
method - 5;    
hardly - 5;    
spend - 5;    
ordered - 5;    
outlined - 5;    
phrase - 5;    
engaged - 5;    
widely - 5;    
orchards - 5;    
foresight - 5;    
whiff - 5;    
thus - 5;    
justification - 5;    
producing - 5;    
damaged - 5;    
gloomy - 5;    
indicated - 5;    
mildly - 5;    
microorganisms - 5;    
book*films - 5;    
transduction - 5;    
reminded - 5;    
accompanied - 5;    
ornate - 5;    
froze - 5;    
disturb - 5;    
countless - 5;    
mutual - 5;    
consent - 5;    
stretch - 5;    
wonderful - 5;    
typical - 5;    
symmetry - 5;    
hearing - 5;    
shouting - 5;    
confidence - 5;    
compact - 5;    
distorted - 5;    
facilities - 5;    
cats - 5;    
eggs - 5;    
grows - 5;    
directed - 5;    
maneuvered - 5;    
pause - 5;    
conditions - 5;    
steady - 5;    
outhouse - 5;    
easier - 5;    
hoping - 5;    
senses - 5;    
joined - 5;    
glove - 5;    
cable - 5;    
feelings - 5;    
assuming - 5;    
moon's - 5;    
hour - 5;    
understands - 5;    
childish - 5;    
infected - 5;    
results - 5;    
accurately - 5;    
sturdy - 5;    
thine - 5;    
conjurer - 5;    
meals - 5;    
nay - 5;    
civilization - 5;    
guide - 5;    
minimum - 5;    
following - 5;    
hesitantly - 5;    
cried - 5;    
magnification - 5;    
organisms - 5;    
skirt - 5;    
gala's - 5;    
game - 5;    
draw - 5;    
oxygen - 5;    
thanks - 5;    
union - 5;    
statue - 5;    
fears - 5;    
solaria's - 4;   
climate - 4;   
quality - 4;   
manipulated - 4;   
spontaneously - 4;   
deserve - 4;   
married - 4;   
electronic - 4;   
disgusting - 4;   
mad - 4;   
defensively - 4;   
positronic - 4;   
company - 4;   
overriding - 4;   
express - 4;   
confederation - 4;   
enthusiasm - 4;   
wrinkled - 4;   
catching - 4;   
temporarily - 4;   
shown - 4;   
honestly - 4;   
beam - 4;   
liberty - 4;   
collect - 4;   
laughter - 4;   
demanded - 4;   
alternative - 4;   
techniques - 4;   
ideal - 4;   
midst - 4;   
stirred - 4;   
curving - 4;   
shallow - 4;   
fair - 4;   
survived - 4;   
superstitious - 4;   
emotional - 4;   
vessel - 4;   
mythologists - 4;   
giving - 4;   
retained - 4;   
wilt - 4;   
axiom - 4;   
axioms - 4;   
quarter - 4;   
dost - 4;   
betray - 4;   
fight - 4;   
truthfully - 4;   
contempt - 4;   
lip - 4;   
upset - 4;   
apartment - 4;   
accomplish - 4;   
turbulence - 4;   
observe - 4;   
shot - 4;   
wear - 4;   
globe - 4;   
substantial - 4;   
merge - 4;   
grimaced - 4;   
shone - 4;   
well*known - 4;   
awhile - 4;   
kicked - 4;   
collapse - 4;   
liquid - 4;   
judgment - 4;   
incomprehensible - 4;   
deny - 4;   
enable - 4;   
apologize - 4;   
deduce - 4;   
loincloth - 4;   
openings - 4;   
spoken - 4;   
disappointing - 4;   
association - 4;   
vocabulary - 4;   
rolling - 4;   
proud - 4;   
relieved - 4;   
trip - 4;   
noticeably - 4;   
goal - 4;   
shocked - 4;   
axis - 4;   
innumerable - 4;   
physically - 4;   
equator - 4;   
odor - 4;   
astonishing - 4;   
fault - 4;   
facts - 4;   
welcome - 4;   
continent - 4;   
whispering - 4;   
throughout - 4;   
psychic - 4;   
tropical - 4;   
recesses - 4;   
warn - 4;   
potential - 4;   
oceans - 4;   
convenient - 4;   
wager - 4;   
benefit - 4;   
snatched - 4;   
available - 4;   
lesser - 4;   
moderation - 4;   
acted - 4;   
robe - 4;   
swarm - 4;   
feared - 4;   
concert - 4;   
failed - 4;   
barbaric - 4;   
excited - 4;   
poles - 4;   
fluorescent - 4;   
dreadful - 4;   
successfully - 4;   
core - 4;   
patiently - 4;   
main - 4;   
audience - 4;   
awareness - 4;   
horrible - 4;   
gleaming - 4;   
due - 4;   
relationship - 4;   
descending - 4;   
smoothly - 4;   
stake - 4;   
machine - 4;   
automatic - 4;   
forgetting - 4;   
blouse - 4;   
stores - 4;   
nice - 4;   
negative - 4;   
protection - 4;   
occupied - 4;   
organized - 4;   
ignore - 4;   
wavelength - 4;   
impressed - 4;   
levels - 4;   
calls - 4;   
bulge - 4;   
occasions - 4;   
guards - 4;   
tended - 4;   
increasingly - 4;   
apologetically - 4;   
pouring - 4;   
shades - 4;   
girl - 4;   
sprayed - 4;   
literally - 4;   
grim - 4;   
overlooked - 4;   
dressed - 4;   
compartment - 4;   
organization - 4;   
demands - 4;   
stage - 4;   
immigration - 4;   
wake - 4;   
fine - 4;   
meticulously - 4;   
twitched - 4;   
nonhuman - 4;   
defeated - 4;   
wildly - 4;   
camera - 4;   
decent - 4;   
focused - 4;   
neighboring - 4;   
consciously - 4;   
officials - 4;   
hit - 4;   
react - 4;   
trapped - 4;   
superior - 4;   
gracefully - 4;   
tough - 4;   
garments - 4;   
demand - 4;   
garment - 4;   
respond - 4;   
remaining - 4;   
rough - 4;   
sides - 4;   
instructed - 4;   
trivial - 4;   
bottom - 4;   
thrown - 4;   
holographic - 4;   
rocks - 4;   
inward - 4;   
mineral - 4;   
duplicate - 4;   
intrude - 4;   
adequately - 4;   
interacting - 4;   
occur - 4;   
tight - 4;   
stayed - 4;   
match - 4;   
beach - 4;   
couch - 4;   
direct - 4;   
earthmen - 4;   
curved - 4;   
indoors - 4;   
tears - 4;   
monster - 4;   
yield - 4;   
examine - 4;   
possibilities - 4;   
insufficient - 4;   
ashes - 4;   
touching - 4;   
calculated - 4;   
afford - 4;   
lighting - 4;   
weeks - 4;   
convention - 4;   
breakfast - 4;   
concrete - 4;   
raining - 4;   
classical - 4;   
overheard - 4;   
ash - 4;   
flash - 4;   
hast - 4;   
exercise - 4;   
offspring - 4;   
infinitely - 4;   
leg - 4;   
rubbed - 4;   
belong - 4;   
compromise - 4;   
campbell - 4;   
sufficient - 4;   
global - 4;   
doors - 4;   
seated - 4;   
letter - 4;   
won - 4;   
ended - 4;   
offended - 4;   
ignored - 4;   
credible - 4;   
university - 4;   
stroking - 4;   
narrowly - 4;   
resist - 4;   
trembling - 4;   
brings - 4;   
confusion - 4;   
desired - 4;   
north - 4;   
trembled - 4;   
unfortunately - 4;   
thereafter - 4;   
transfer - 4;   
seized - 4;   
items - 4;   
address - 4;   
reduced - 4;   
sobbing - 4;   
proved - 4;   
unwilling - 4;   
voluntary - 4;   
proudly - 4;   
poor - 4;   
frightening - 4;   
yell - 4;   
collapsed - 4;   
describe - 4;   
vigorous - 4;   
edges - 4;   
affection - 4;   
considerably - 4;   
shake - 4;   
fired - 4;   
indistinguishable - 4;   
requirements - 4;   
muscles - 4;   
mountainous - 4;   
younger - 4;   
post - 4;   
knock - 4;   
upper - 4;   
yesterday - 4;   
prey - 4;   
self - 4;   
startled - 4;   
valid - 4;   
originated - 4;   
vapor - 4;   
penetrating - 4;   
circular - 4;   
frustration - 4;   
speaks - 4;   
believed - 4;   
unapproachable - 4;   
cloudy - 4;   
luck - 4;   
kernel - 4;   
circulation - 4;   
bet - 4;   
clumps - 4;   
compared - 4;   
lacks - 4;   
strengthened - 4;   
dominant - 4;   
squeezed - 4;   
crowds - 4;   
bitterly - 4;   
legendary - 4;   
annoyed - 4;   
evolved - 4;   
family - 4;   
noticeable - 4;   
brilliant - 4;   
grateful - 4;   
uselessly - 4;   
sixth - 4;   
hasn't - 4;   
interpret - 4;   
puzzle - 4;   
heap - 4;   
disc - 4;   
abandon - 4;   
trilogy - 4;   
alarm - 4;   
checked - 4;   
generations - 4;   
sunset - 4;   
possess - 4;   
motions - 4;   
published - 4;   
computers - 4;   
barrier - 4;   
snap - 4;   
custom - 4;   
traveling - 4;   
drink - 4;   
bothered - 4;   
humor - 4;   
jumps - 4;   
grin - 4;   
telescope - 4;   
disease - 4;   
stellar - 4;   
lacked - 4;   
gripped - 4;   
dozens - 4;   
trade - 4;   
imply - 4;   
houses - 4;   
entering - 4;   
convert - 4;   
billions - 4;   
sole - 4;   
navy - 4;   
calling - 4;   
term - 4;   
participate - 4;   
card - 4;   
surge - 4;   
independently - 4;   
talked - 4;   
habitability - 4;   
traveler - 4;   
tortoise - 4;   
components - 4;   
blocked - 4;   
ceased - 4;   
separate - 4;   
rhythm - 4;   
distaste - 4;   
substitute - 4;   
creatures - 4;   
stirring - 4;   
buried - 4;   
amusing - 4;   
uses - 4;   
punished - 4;   
openly - 4;   
g - 4;   
ignorant - 4;   
spectrum - 4;   
hemisphere - 4;   
delighted - 4;   
perceptible - 4;   
inappropriate - 4;   
orbits - 4;   
confident - 4;   
class - 4;   
troubled - 4;   
protected - 4;   
folk - 4;   
ecologies - 4;   
tentatively - 4;   
revolving - 4;   
yariff - 4;   
tune - 4;   
founding - 4;   
irregular - 4;   
weaken - 4;   
glowed - 4;   
dwarfs - 4;   
confused - 4;   
amazing - 4;   
administrative - 4;   
expanded - 4;   
terraforming - 4;   
flushed - 4;   
sad - 4;   
emphatically - 4;   
settlements - 4;   
coordinates - 4;   
accelerate - 4;   
loving - 4;   
doubtfully - 4;   
outline - 4;   
caused - 4;   
creation - 4;   
recognized - 4;   
likelihood - 4;   
pair - 4;   
dive - 4;   
evening - 4;   
games - 4;   
separation - 4;   
washing - 4;   
tendency - 4;   
excitedly - 4;   
c - 4;   
willed - 4;   
kindly - 4;   
strengthen - 4;   
scale - 4;   
privileges - 4;   
tamper - 4;   
gasping - 4;   
moist - 4;   
queer - 4;   
first*class - 4;   
interpreted - 4;   
fill - 4;   
guiding - 4;   
patriotism - 4;   
admitted - 4;   
hundreds - 4;   
whistling - 4;   
enhancement - 4;   
impatience - 4;   
scraping - 4;   
revolution - 4;   
art - 4;   
determine - 4;   
traded - 4;   
labored - 4;   
unfamiliar - 4;   
journey - 4;   
corrected - 4;   
thermals - 3;  
miscellaneous - 3;  
begun - 3;  
born - 3;  
writing - 3;  
groups - 3;  
disappears - 3;  
probabilities - 3;  
essentially - 3;  
rouse - 3;  
accord - 3;  
pure - 3;  
disappear - 3;  
overconfidence - 3;  
shout - 3;  
technologically - 3;  
cracked - 3;  
erosion - 3;  
basins - 3;  
hang - 3;  
infinite - 3;  
attached - 3;  
crater - 3;  
thorns - 3;  
improving - 3;  
target - 3;  
seas - 3;  
dense - 3;  
moth*eaten - 3;  
newcomers - 3;  
distinct - 3;  
mythology - 3;  
beat - 3;  
concept - 3;  
reminds - 3;  
grasslands - 3;  
temperate - 3;  
separated - 3;  
planetology - 3;  
developing - 3;  
contrary - 3;  
observation - 3;  
inspection - 3;  
retreated - 3;  
timidly - 3;  
neglected - 3;  
revolved - 3;  
mainlock - 3;  
purplish - 3;  
devices - 3;  
fortunately - 3;  
admired - 3;  
helmet - 3;  
caps - 3;  
breathable - 3;  
road - 3;  
chin - 3;  
answering - 3;  
stops - 3;  
exposed - 3;  
atmospheres - 3;  
surprises - 3;  
traces - 3;  
implies - 3;  
thistles - 3;  
particle - 3;  
benevolence - 3;  
frost - 3;  
expedition - 3;  
baley - 3;  
elijah - 3;  
remnant - 3;  
depressed - 3;  
strings - 3;  
festivals - 3;  
feeful - 3;  
spectral - 3;  
gnome - 3;  
climbing - 3;  
biotechnology - 3;  
transplantation - 3;  
gatis - 3;  
utter - 3;  
fain - 3;  
golden - 3;  
solitary - 3;  
mythologist - 3;  
prating - 3;  
ere - 3;  
discourtesy - 3;  
revolves - 3;  
worried - 3;  
culture*hero - 3;  
cot - 3;  
responsible - 3;  
doubly - 3;  
desperate - 3;  
far*off - 3;  
switch - 3;  
euphoria - 3;  
sirs - 3;  
disregard - 3;  
march - 3;  
viruses - 3;  
passage - 3;  
fixation - 3;  
remarkably - 3;  
despair - 3;  
news - 3;  
free*masonry - 3;  
inaction - 3;  
injure - 3;  
correction - 3;  
zeroth - 3;  
onlookers - 3;  
meridian - 3;  
shining - 3;  
clutched - 3;  
keys - 3;  
perfected - 3;  
scanned - 3;  
clever - 3;  
win - 3;  
zigzag - 3;  
current - 3;  
cassiopeia - 3;  
unreasonable - 3;  
feeding - 3;  
extremes - 3;  
fluorescents - 3;  
construction - 3;  
training - 3;  
wood - 3;  
accelerated - 3;  
absorbed - 3;  
whereas - 3;  
orbital - 3;  
voted - 3;  
maintenance - 3;  
proto*galaxia - 3;  
unstable - 3;  
adults - 3;  
bond - 3;  
taxi*driver - 3;  
regardless - 3;  
rear - 3;  
neighbor - 3;  
stretches - 3;  
invisible - 3;  
magnified - 3;  
pedestal - 3;  
leaning - 3;  
witnessed - 3;  
pieces - 3;  
bliss*and - 3;  
dates - 3;  
seven - 3;  
furrowed - 3;  
radio - 3;  
methodically - 3;  
brow - 3;  
streak - 3;  
fumbled - 3;  
extends - 3;  
mirror - 3;  
centauri - 3;  
flat - 3;  
manipulating - 3;  
adequate - 3;  
winced - 3;  
canvas - 3;  
shapely - 3;  
statistical - 3;  
snow - 3;  
naught - 3;  
row - 3;  
mother's - 3;  
discussed - 3;  
poetry - 3;  
approval - 3;  
complain - 3;  
unaware - 3;  
encounter - 3;  
counted - 3;  
whichever - 3;  
tremble - 3;  
spark - 3;  
diminished - 3;  
